,time_x,event_name,holiday,date,jalali_date
0,۱ فروردین,جشن نوروز/جشن سال نو ,1,2011-03-21,1390-01-01
1,۲ فروردین,عیدنوروز ,1,2011-03-22,1390-01-02
2,۳ فروردین,عیدنوروز ,1,2011-03-23,1390-01-03
3,۴ فروردین,عیدنوروز ,1,2011-03-24,1390-01-04
4,۱۲ فروردین,روز جمهوری اسلامی ,1,2011-04-01,1390-01-12
5,۱۳ فروردین,جشن سیزده به در,1,2011-04-02,1390-01-13
6,۱۷ اردیبهشت,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2011-05-07,1390-02-17
7,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2011-06-04,1390-03-14
8,۱۵ خرداد,قیام 15 خرداد ,1,2011-06-05,1390-03-15
9,۲۶ خرداد,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2011-06-16,1390-03-26
10,۹ تیر,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2011-06-30,1390-04-09
11,۲۶ تیر,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2011-07-17,1390-04-26
12,۳۰ اَمرداد,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2011-08-21,1390-05-30
13,۹ شهریور ,عید سعید فطر [ ١ شوال ],1,2011-08-31,1390-06-09
14,۱۰ شهریور ,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2011-09-01,1390-06-10
15,۲ مهر,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2011-09-24,1390-07-02
16,۱۶ آبان,عید سعید قربان [ ١٠ ذوالحجه ],1,2011-11-07,1390-08-16
17,۲۴ آبان,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2011-11-15,1390-08-24
18,۱۴ آذر,تاسوعای حسینی [ ٩ محرم ],1,2011-12-05,1390-09-14
19,۱۵ آذر,عاشورای حسینی [ ١٠ محرم ],1,2011-12-06,1390-09-15
20,۲۴ دی,اربعین حسینی [ ٢٠ صفر ],1,2012-01-14,1390-10-24
21,۲ بهمن,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2012-01-22,1390-11-02
22,۴ بهمن,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2012-01-24,1390-11-04
23,۱۲ بهمن,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2012-02-01,1390-11-12
24,۲۱ بهمن,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2012-02-10,1390-11-21
25,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2012-02-11,1390-11-22
26,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2012-03-19,1390-12-29
27,۱ فروردین,جشن نوروز/جشن سال نو ,1,2012-03-20,1391-01-01
28,۲ فروردین,عیدنوروز ,1,2012-03-21,1391-01-02
29,۳ فروردین,عیدنوروز ,1,2012-03-22,1391-01-03
30,۴ فروردین,عیدنوروز ,1,2012-03-23,1391-01-04
31,۱۲ فروردین,روز جمهوری اسلامی ,1,2012-03-31,1391-01-12
32,۱۳ فروردین,جشن سیزده به در,1,2012-04-01,1391-01-13
